indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Calidad del Aire,bf030d4a-06e8-48ad-a8d7-dfb402cbbf0a,ERROR,2,8
1,Datos Estadísticos Instituto Provincial de Juegos y Casinos,71648b9c-f64a-4d27-9e9c-efd1a485beb1,ERROR,2,8
2,Ejecución Presupuestaria 2017,74f54398-066f-4c7e-ba34-37ac6f05fd77,ERROR,2,2
3,Deuda Pública de la Provincia de Mendoza,e0c0f61c-fc1c-4846-84fb-3a8f3f4662b1,ERROR,2,2
4,Red Federal de Monitoreo Ambiental,b35f4143-0a58-45c0-9326-afe29a5fb50d,ERROR,2,1
5,Sistema de Consultas Ciudadanas,44d947ad-20e3-4cdf-8cc4-b9aec53a039f,ERROR,2,3
6,Transferencias de Fondos y Responsabilidad Fiscal Instituto Provincial de Juegos y Casinos,4b70c708-9781-4f18-8bb4-066f4a8fe98d,ERROR,2,3
