indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
26,Ingresos trimestrales por la prestación del servicio de telefonía móvil,http://enacom.cloudapi.junar.com/api/v2/datastreams/INGRE-TRIME-POR-LA-PREST/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
27,Penetración nacional de la telefonía móvil (accesos por cada 100 habitantes),http://enacom.cloudapi.junar.com/api/v2/datastreams/PENET-NACIO-DE-LA-TELEF/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
28,Total nacional de accesos a telefonía móvil,http://enacom.cloudapi.junar.com/api/v2/datastreams/TOTAL-NACIO-DE-ACCES-52199/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
29,Telefonía móvil: minutos salientes (miles),http://enacom.cloudapi.junar.com/api/v2/datastreams/TELEF-MOVIL-MINUT-SALIE-MILES/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
30,Número de SMS enviados,http://enacom.cloudapi.junar.com/api/v2/datastreams/NUMER-DE-SMS-ENVIA/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
31,Telefonía móvil: número de llamadas salientes,http://enacom.cloudapi.junar.com/api/v2/datastreams/TELEF-MOVIL-NUMER-DE-LLAMA/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
32,Penetración del Internet fijo por provincia (accesos por cada 100 hogares),http://enacom.cloudapi.junar.com/api/v2/datastreams/PENET-DEL-INTER-FIJO-51614/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
33,Ingresos por la operación del servicio de Internet fijo,http://enacom.cloudapi.junar.com/api/v2/datastreams/INGRE-POR-LA-OPERA-DEL/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
34,Penetración del Internet fijo por provincia (accesos por cada 100 habitantes),http://enacom.cloudapi.junar.com/api/v2/datastreams/PENET-DEL-INTER-FIJO-POR/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
35,Banda ancha y banda angosta por provincia,http://enacom.cloudapi.junar.com/api/v2/datastreams/BANDA-ANCHA-Y-BANDA-ANGOS/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
36,Total nacional de accesos a Internet fijo por banda ancha y banda angosta,http://enacom.cloudapi.junar.com/api/v2/datastreams/TOTAL-NACIO-DE-ACCES-48866/data/?auth_key=44a38fbffd39c9f7d84e8e7dd2e1d02f0950e611,OK,0,3
