indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
0,Instituciones del Sistema Nacional de Ciencia y Tecnología Argentino,2a9cef3e-2ba9-45a0-a02c-a988d7021c41,OK,0,2
1,Equipamiento científico-tecnológico,bd660ae2-98ce-4f0f-8e90-127319cbe175,OK,0,2
2,Recursos humanos en ciencia y tecnología,0c8285cb-ecec-410c-accc-5261718b459d,OK,0,2
3,"Proyectos de ciencia, tecnología e innovación",5e62bdac-52d9-4e66-ac6b-aa47dd219aa3,OK,0,2
4,"Empresas de ejecución de proyectos de ciencia, tecnología e innovación",6f44589b-5dc5-4585-abf2-98b759e406bf,OK,0,2
