indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
53,Listado de Registros Seccionales de la Dirección Nacional de Registros Nacionales de la Propiedad Automotor y Créditos Prendarios,6c79acbd-5c52-4a19-accb-00535749e0bc,ERROR,2,1
54,"Registro, Sistematización y Seguimiento de Femicidios y Homicidios Agravados por el Género",167e9841-3644-49f5-8226-706a71930a45,ERROR,2,1
55,Estadística de Mediaciones Prejudiciales y Judiciales,009d6174-dab1-4f9d-870b-282635ff4770,ERROR,2,1
56,Recursos humanos en ciencia y tecnología,0768ec0a-dfd6-4291-8e2b-6676197a7878,ERROR,2,2
57,"Empresas de ejecución de proyectos de ciencia, tecnología e innovación",ddc3f696-2f42-4a5c-ad6c-b302f2e2a7d0,ERROR,3,2
58,"Proyectos de ciencia, tecnología e innovación",8366c56e-1259-462c-baa0-167d9106cff4,ERROR,2,2
59,Instituciones del Sistema Nacional de Ciencia y Tecnología Argentino,155204f6-632f-4952-8613-def9f588be45,ERROR,3,2
60,Equipamiento científico-tecnológico,f0fe2a50-ae98-4963-bb20-510c874bda29,ERROR,2,2
61,Estadística de Inscripciones Iniciales de Automotores y Motovehículos,db6bf4c1-f984-47ec-99ad-236248f50982,ERROR,2,1
62,Solicitudes de Acceso a la Información Pública,8bc053c8-efc2-485d-97d3-915c476d2741,ERROR,2,2
63,Asignación Salarial de las Autoridades Superiores del Poder Ejecutivo Nacional,431381cc-3c5b-49ba-bf77-47bf658cd640,ERROR,3,1
64,Pauta Oficial,122808ec-dcd1-4a9b-aafe-8fa80ac2a2f4,ERROR,3,4
65,Planes de Apertura de Datos,43c2e6ae-f0a7-4688-b5aa-2aa6f4811a9c,ERROR,2,1
66,Contratos de Alquiler del Estado Nacional como Locador,b9602e2a-163f-4d12-adcb-c0c92f3a49f0,ERROR,1,1
67,Estructura Orgánica y Autoridades del Poder Ejecutivo Nacional,ad5b0e15-a9ed-40d5-9827-33a0ece12433,ERROR,1,1
68,Registro Único de Audiencias de Gestión de Intereses,2889b09e-31ca-4f90-912e-2a50db874e33,ERROR,2,2
